id,brand,base_model,model_mode,year,condition,mileage_km,has_aftermarket_mods,body_type,seats,doors,drivetrain,origin,exterior_color,city,seller_name,post_date,website,price_vnd
2692,VinFast,VF3,VF3,2024.0,New,13000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đen,Hà Nội,Vinfast Bát Tràng,2026-04-03,bonbanh.com,447000000.0
2693,VinFast,VFe34 22,VFe34 22,2022.0,New,44000.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Xám,Hà Nội,Vinfast Bát Tràng,2026-04-03,bonbanh.com,255000000.0
2694,VinFast,VF5,VF5 Plus,2025.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Hồng,Hà Nội,Vinfast Bát Tràng,2026-04-03,bonbanh.com,255000000.0
2695,VinFast,Limo Green,Limo Green,2026.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Đỏ,Hà Nội,Vinfast Bát Tràng,2026-04-03,bonbanh.com,255000000.0
2696,VinFast,VF9,VF9,2023.0,Used,2900.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xanh,Hà Nội,Nguyễn xuân Kết,2026-04-02,bonbanh.com,439000000.0
2697,VinFast,VF5,VF5 Plus,2024.0,Used,21000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,ho chi minh TP HCM,Quang,2026-04-02,bonbanh.com,350000000.0
2698,VinFast,VF3,VF3,2026.0,Used,100.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Xanh,Hà Nội,Nguyễn xuân Kết,2026-04-02,bonbanh.com,810000000.0
2699,BYD,Atto 3,Atto 3,2024.0,Used,21000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,Vũ Văn Hà,2026-04-02,bonbanh.com,775000000.0
2700,VinFast,VF7,VF7,2023.0,Used,37052.0,True,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Trắng,Đồng Nai,Cao Thị Thu Thủy,2026-04-02,bonbanh.com,858000000.0
2701,VinFast,VF3,VF3,2025.0,Used,48000.0,True,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đỏ,Hà Nội,Hoàng Hồng,2026-04-02,bonbanh.com,780000000.0
2702,BYD,Seal,Sealion 8,2025.0,Used,7430.0,True,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Thụy lô tiên nữ Hưng Yên,Trần Hồng Khải,2026-04-01,bonbanh.com,600000000.0
2703,VinFast,VF5,VF5,2024.0,New,15000.0,True,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xám,Hà Nội,Vinfast Times City,2026-04-01,bonbanh.com,598000000.0
2704,VinFast,VFe34,VFe34,2023.0,Used,600000.0,True,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Thủ đức TP HCM,Nguyễn Tấn Tài,2026-04-01,bonbanh.com,451000000.0
2705,BYD,Atto 3,ATTO 3,2026.0,New,0.0,True,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đen,Hà Nội,Vinfast Bát Tràng,2026-04-01,bonbanh.com,459000000.0
2706,VinFast,VF7,VF7,2026.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,Hà Nội,Vinfast Bát Tràng,2026-04-01,bonbanh.com,459000000.0
2707,VinFast,VF3,VF3,2024.0,New,11000.0,True,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,Hà Nội,Vinfast Bát Tràng,2026-04-01,bonbanh.com,459000000.0
2708,VinFast,VF5,VF5 Plus,2025.0,New,0.0,True,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,Vinfast Bát Tràng,2026-04-01,bonbanh.com,459000000.0
2709,VinFast,VF9,VF9 Plus,2025.0,New,0.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Xanh,Hà Nội,Vinfast Times City,2026-04-01,bonbanh.com,593000000.0
2710,VinFast,VF5,VF5 SX,2024.0,New,0.0,False,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Vàng,Hà Nội,Vinfast Bát Tràng,2026-04-01,bonbanh.com,663000000.0
