Model,Train R2,Test R2,Train MAE (VND),Test MAE (VND),Train RMSE (VND),Test RMSE (VND),Train MAPE (%),Test MAPE (%)
Linear Regression,0.6474808326997246,0.620387582640078,4239448.438276119,4496434.334887938,6845089.542170641,6974344.815202213,51.331585766109725,57.47278324374108
SVR,0.7362748061766607,0.7600865520443442,3564897.5506399334,3819822.072243629,5920570.7591212755,5544475.981396676,48.743435079821786,57.02608572498361
Random Forest,0.8633274589051763,0.7543197401410217,1980373.824026976,3927546.68685933,4262146.765320364,5610716.71447392,22.643553202408935,61.001345606007504
XGBoost,0.8266410827636719,0.7816587686538696,2525167.0,3685598.5,4800216.236622679,5289335.387259159,27.11535451056087,57.50997569829015
LightGBM,0.7997108580047676,0.758585005089236,2744860.284844261,3905870.2494781925,5159605.16550024,5561799.531458745,30.455456372446417,60.09991835395439
